product_handle,variant_sku,variant_barcode,variant_title,weight_value,weight_unit,thumbnail_url,velocity,tags,allergens,ingredients,storage,country_of_origin,variant_title_raw,variant_sku_raw,sourcing_depot
4567662067784,natco-basmati-rice-india-bag-5kg,4567662067784,5kg,5,kg,/uploads/natco_basmati-rice-india-bag-5kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R1138,depot_b
4567662166088,natco-pappadoms-madras-papa-brand-250g,4567662166088,250g,250,g,/uploads/natco_pappadoms-madras-papa-brand-250g.jpg,A,,,See product packaging for full ingredients list,,India,Default,P5100,depot_b
4567662362696,natco-pappadoms-madras-coin-size-200g,4567662362696,200g,200,g,/uploads/natco_pappadoms-madras-coin-size-200g.jpg,A,,,See product packaging for full ingredients list,,India,Default,P5022,depot_b
4567662461000,natco-pappadoms-punjabi-microwavable-200g,4567662461000,200g,200,g,/uploads/natco_pappadoms-punjabi-microwavable-200g.jpg,A,,,See product packaging for full ingredients list,,India,Default,P4510,depot_b
4567662493768,natco-pappadoms-plain-microwavable-200g,4567662493768,200g,200,g,/uploads/natco_pappadoms-plain-microwavable-200g.jpg,A,,,See product packaging for full ingredients list,,India,Default,P4410,depot_b
4567662526536,natco-pappadoms-jeera-microwavable-200g,4567662526536,200g,200,g,/uploads/natco_pappadoms-jeera-microwavable-200g.jpg,A,,,See product packaging for full ingredients list,,India,Default,P4310,depot_b
4567662559304,natco-pappadoms-black-pepper-200g,4567662559304,200g,200,g,/uploads/natco_pappadoms-black-pepper-200g.jpg,A,,,See product packaging for full ingredients list,,India,Default,P4010,depot_b
4567662919752,natco-luxury-fruit-nuts-mix-750g,4567662919752,750g,750,g,/uploads/natco_luxury-fruit-amp-nuts-mix-750g.png,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N5320,depot_b
4567662952520,natco-luxury-fruit-nut-mix-250g,4567662952520,250g,250,g,/uploads/natco_luxury-fruit-amp-nut-mix-250g.png,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N5315,depot_b
4567663214664,natco-pistachio-kernels-1kg,GEN_4567663214664_1kg,1kg,1,kg,/uploads/natco_pistachio-kernels-1kg.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N5250,depot_b
